PCS_ID,PCS_Name,PCS_Level,Angle_Horizontal,Distance_Horizontal,Tset,Control_Method,Reference_time,Condition_without_PCS,Condition_with_PCS,Delta_P_All,Delta_P_Pelvis,Delta_P_Left_Upper_Arm,Delta_P_Right_Upper_Arm,Delta_P_Left_Forearm,Delta_P_Right_Forearm,Delta_P_Left_Hand,Delta_P_Right_Hand,Delta_P_Left_Lower_Leg,Delta_P_Right_Lower_Leg,Delta_P_Left_Foot,Delta_P_Right_Foot,PCS_Ta,PCS_MRT,PCS_RH,PCS_V,PCS_To,PCS_ET,PCS_Tsk_All,PCS_Tsk_Pelvis,PCS_Tsk_Left_Upper_Arm,PCS_Tsk_Right_Upper_Arm,PCS_Tsk_Left_Forearm,PCS_Tsk_Right_Forearm,PCS_Tsk_Left_Hand,PCS_Tsk_Right_Hand,PCS_Tsk_Left_Lower_Leg,PCS_Tsk_Right_Lower_Leg,PCS_Tsk_Left_Foot,PCS_Tsk_Right_Foot,PCS_P_All,PCS_P_Pelvis,PCS_P_Left_Upper_Arm,PCS_P_Right_Upper_Arm,PCS_P_Left_Forearm,PCS_P_Right_Forearm,PCS_P_Left_Hand,PCS_P_Right_Hand,PCS_P_Left_Lower_Leg,PCS_P_Right_Lower_Leg,PCS_P_Left_Foot,PCS_P_Right_Foot,Baseline_Ta,Baseline_MRT,Baseline_RH,Baseline_V,Baseline_To,Baseline_ET,Baseline_Tsk_All,Baseline_Tsk_Pelvis,Baseline_Tsk_Left_Upper_Arm,Baseline_Tsk_Right_Upper_Arm,Baseline_Tsk_Left_Forearm,Baseline_Tsk_Right_Forearm,Baseline_Tsk_Left_Hand,Baseline_Tsk_Right_Hand,Baseline_Tsk_Left_Lower_Leg,Baseline_Tsk_Right_Lower_Leg,Baseline_Tsk_Left_Foot,Baseline_Tsk_Right_Foot,Baseline_P_All,Baseline_P_Pelvis,Baseline_P_Left_Upper_Arm,Baseline_P_Right_Upper_Arm,Baseline_P_Left_Forearm,Baseline_P_Right_Forearm,Baseline_P_Left_Hand,Baseline_P_Right_Hand,Baseline_P_Left_Lower_Leg,Baseline_P_Right_Lower_Leg,Baseline_P_Left_Foot,Baseline_P_Right_Foot,PCS_ht_All,Baseline_ht_All,Delta_ht_All,Delta_Teq_All,PCS_ht_Pelvis,Baseline_ht_Pelvis,Delta_ht_Pelvis,Delta_Teq_Pelvis,PCS_ht_Left_Upper_Arm,Baseline_ht_Left_Upper_Arm,Delta_ht_Left_Upper_Arm,Delta_Teq_Left_Upper_Arm,PCS_ht_Right_Upper_Arm,Baseline_ht_Right_Upper_Arm,Delta_ht_Right_Upper_Arm,Delta_Teq_Right_Upper_Arm,PCS_ht_Left_Forearm,Baseline_ht_Left_Forearm,Delta_ht_Left_Forearm,Delta_Teq_Left_Forearm,PCS_ht_Right_Forearm,Baseline_ht_Right_Forearm,Delta_ht_Right_Forearm,Delta_Teq_Right_Forearm,PCS_ht_Left_Hand,Baseline_ht_Left_Hand,Delta_ht_Left_Hand,Delta_Teq_Left_Hand,PCS_ht_Right_Hand,Baseline_ht_Right_Hand,Delta_ht_Right_Hand,Delta_Teq_Right_Hand,PCS_ht_Left_Lower_Leg,Baseline_ht_Left_Lower_Leg,Delta_ht_Left_Lower_Leg,Delta_Teq_Left_Lower_Leg,PCS_ht_Right_Lower_Leg,Baseline_ht_Right_Lower_Leg,Delta_ht_Right_Lower_Leg,Delta_Teq_Right_Lower_Leg,PCS_ht_Left_Foot,Baseline_ht_Left_Foot,Delta_ht_Left_Foot,Delta_Teq_Left_Foot,PCS_ht_Right_Foot,Baseline_ht_Right_Foot,Delta_ht_Right_Foot,Delta_Teq_Right_Foot,Baseline_ht_Head,Baseline_P_Head,Delta_ht_Head,PCS_ht_Head,Delta_Teq_Head,Delta_P_Head,PCS_P_Head,PCS_Tsk_Head,Baseline_Tsk_Head,Baseline_ht_Chest,Baseline_P_Chest,Delta_ht_Chest,PCS_ht_Chest,Delta_Teq_Chest,Delta_P_Chest,PCS_P_Chest,PCS_Tsk_Chest,Baseline_Tsk_Chest,Baseline_ht_Back,Baseline_P_Back,Delta_ht_Back,PCS_ht_Back,Delta_Teq_Back,Delta_P_Back,PCS_P_Back,PCS_Tsk_Back,Baseline_Tsk_Back,Baseline_ht_Left_Thigh,Baseline_P_Left_Thigh,Delta_ht_Left_Thigh,PCS_ht_Left_Thigh,Delta_Teq_Left_Thigh,Delta_P_Left_Thigh,PCS_P_Left_Thigh,PCS_Tsk_Left_Thigh,Baseline_Tsk_Left_Thigh,Baseline_ht_Right_Thigh,Baseline_P_Right_Thigh,Delta_ht_Right_Thigh,PCS_ht_Right_Thigh,Delta_Teq_Right_Thigh,Delta_P_Right_Thigh,PCS_P_Right_Thigh,PCS_Tsk_Right_Thigh,Baseline_Tsk_Right_Thigh
9,Standing fan (Sunbeam),Level6,180.0,150.0,25,TskControl34,2025-02-05 15:27:51,2025-02-05_ID0_NoPCS_Ta25_TskControl34.csv,2025-02-05_ID9_Standing fan (Sunbeam)_Level6_Angle180_Distance150_Ta25_TskControl34.csv,34.44,12.7,59.9,22.7,82.98,92.74,108.06,129.5,-2.74,-2.04,-3.0,-2.6,25.3,25.1,53.22,0.09,25.2,25.54,33.9,34.0,34.0,34.0,34.0,34.0,32.82,32.86,34.0,34.0,34.0,34.0,93.12,60.62,109.32,79.54,143.8,161.68,203.78,213.9,70.18,74.18,46.58,46.1,25.4,25.4,52.23,0.1,25.4,25.68,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,58.68,47.92,49.42,56.84,60.82,68.94,95.72,84.4,72.92,76.22,49.58,48.7,10.7,6.82,3.88,-5.05,6.89,5.57,1.32,-2.28,12.42,5.75,6.68,-10.42,9.04,6.61,2.43,-3.43,16.34,7.07,9.27,-11.73,18.37,8.02,10.36,-11.57,26.74,11.13,15.61,-9.71,27.92,9.81,18.11,-13.2,7.97,8.48,-0.5,0.32,8.43,8.86,-0.43,0.23,5.29,5.77,-0.47,0.52,5.24,5.66,-0.42,0.46,3.52,30.25,5.39,8.9,-11.32,48.11,78.35,34.0,34.0,4.13,35.56,2.14,6.27,-4.84,19.62,55.18,34.0,34.0,5.94,51.11,3.57,9.52,-6.13,32.64,83.76,34.0,34.0,8.07,69.36,4.88,12.95,-5.74,44.56,113.92,34.0,34.0,8.99,77.35,2.46,11.46,-2.66,23.48,100.83,34.0,34.0
9,Standing fan (Sunbeam),Level4,180.0,150.0,22,TskControl34,2025-02-22 16:27:09,2025-02-22_ID0_NoPCS_Ta22_TskControl34.csv,2025-02-22_ID9_Standing fan (Sunbeam)_Level4_Angle180_Distance150_Ta22_TskControl34.csv,32.74,25.54,45.48,16.46,76.26,96.86,74.74,101.32,-0.58,-0.78,-2.78,-2.44,22.5,22.2,61.37,0.06,22.33,22.78,33.9,34.0,34.0,34.0,34.0,34.0,31.42,31.9,34.0,34.0,34.0,34.0,109.94,83.36,112.68,93.32,160.74,197.18,204.94,214.7,90.9,95.54,63.54,63.84,22.1,21.9,67.05,0.12,22.0,22.6,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,77.2,57.82,67.2,76.86,84.48,100.32,130.2,113.38,91.48,96.32,66.32,66.28,9.5,6.43,3.07,-5.09,7.14,4.82,2.32,-5.3,9.66,5.6,4.06,-8.12,8.0,6.4,1.59,-2.57,13.77,7.04,6.73,-10.83,16.9,8.36,8.54,-11.59,22.55,10.85,11.7,-6.89,22.43,9.45,12.99,-10.72,7.79,7.62,0.17,0.08,8.19,8.03,0.16,0.1,5.44,5.53,-0.08,0.5,5.47,5.52,-0.05,0.44,3.45,41.44,3.46,6.92,-9.42,39.29,80.73,34.0,34.0,3.68,44.1,2.42,6.1,-7.38,27.07,71.17,34.0,34.0,5.61,67.3,2.63,8.23,-5.58,28.8,96.1,34.0,34.0,7.87,94.46,4.27,12.15,-6.42,47.29,141.75,34.0,34.0,8.12,97.43,2.7,10.82,-3.83,28.86,126.29,34.0,34.0
10,Standing fan (DeLonghi),Mid,225.0,150.0,25,TskControl34,2025-02-07 17:12:54,2025-02-07_ID0_NoPCS_Ta25_TskControl34.csv,2025-02-07_ID10_Standing fan (DeLonghi)_Mid_Angle225_Distance150_Ta25_TskControl34.csv,8.28,1.66,20.12,3.22,5.5,13.36,15.56,28.96,1.12,-0.68,1.72,-0.34,25.1,25.1,69.38,0.03,25.1,26.15,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,58.8,31.72,66.06,58.4,59.22,76.14,83.82,93.28,68.0,69.96,47.34,45.92,24.9,25.1,71.54,0.08,25.01,26.32,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,50.52,30.06,45.94,55.18,53.72,62.78,68.26,64.32,66.88,70.64,45.62,46.26,6.61,5.62,0.99,-1.47,3.56,3.34,0.22,-0.5,7.42,5.11,2.31,-3.94,6.56,6.14,0.42,-0.52,6.65,5.98,0.68,-0.92,8.56,6.98,1.57,-1.91,9.42,7.59,1.83,-2.05,10.48,7.15,3.33,-4.05,7.64,7.44,0.2,-0.15,7.86,7.86,0.0,0.09,5.32,5.07,0.24,-0.34,5.16,5.15,0.01,0.07,3.23,29.02,3.49,6.71,-9.32,30.74,59.76,34.0,34.0,3.27,29.4,0.74,4.01,-1.99,6.25,35.65,34.0,34.0,5.02,45.15,1.11,6.14,-2.49,9.47,54.61,34.0,34.0,6.28,56.44,0.37,6.65,-0.67,2.77,59.21,34.0,34.0,7.0,62.93,0.26,7.26,-0.39,1.72,64.65,34.0,34.0
10,Standing fan (DeLonghi),Low,180.0,150.0,25,TskControl34,2025-02-07 17:40:54,2025-02-07_ID0_NoPCS_Ta25_TskControl34.csv,2025-02-07_ID10_Standing fan (DeLonghi)_Low_Angle180_Distance150_Ta25_TskControl34.csv,9.48,6.74,27.6,-0.9,35.94,24.9,44.54,39.24,-3.74,-9.34,0.34,-2.22,25.0,25.0,69.36,0.15,25.0,26.12,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,60.0,36.8,73.54,54.28,89.66,87.68,112.8,103.56,63.14,61.3,45.96,44.04,24.9,25.1,71.54,0.08,25.01,26.32,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,50.52,30.06,45.94,55.18,53.72,62.78,68.26,64.32,66.88,70.64,45.62,46.26,6.67,5.62,1.05,-1.69,4.09,3.34,0.75,-2.02,8.17,5.11,3.06,-5.4,6.03,6.14,-0.11,0.15,9.96,5.98,3.99,-6.01,9.74,6.98,2.76,-3.57,12.53,7.59,4.94,-5.87,11.51,7.15,4.35,-5.48,7.02,7.44,-0.42,0.5,6.81,7.86,-1.05,1.19,5.11,5.07,0.03,-0.07,4.89,5.15,-0.25,0.43,3.23,29.02,1.77,5.0,-3.65,16.0,45.03,34.0,34.0,3.27,29.4,0.9,4.17,-2.6,8.09,37.49,34.0,34.0,5.02,45.15,0.83,5.86,-1.86,7.56,52.71,34.0,34.0,6.28,56.44,1.11,7.38,-2.22,10.02,66.46,34.0,34.0,7.0,62.93,0.34,7.34,-0.72,3.12,66.05,34.0,34.0
10,Standing fan (DeLonghi),High,225.0,150.0,25,TskControl34,2025-02-07 17:23:54,2025-02-07_ID0_NoPCS_Ta25_TskControl34.csv,2025-02-07_ID10_Standing fan (DeLonghi)_High_Angle225_Distance150_Ta25_TskControl34.csv,10.42,1.88,22.52,4.84,7.86,20.78,23.6,40.48,1.32,0.12,1.28,0.46,25.0,25.0,69.36,0.16,25.0,26.12,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,60.94,31.94,68.46,60.02,61.58,83.56,91.86,104.8,68.2,70.76,46.9,46.72,24.9,25.1,71.54,0.08,25.01,26.32,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,50.52,30.06,45.94,55.18,53.72,62.78,68.26,64.32,66.88,70.64,45.62,46.26,6.77,5.62,1.15,-1.85,3.55,3.34,0.21,-0.56,7.61,5.11,2.5,-4.41,6.67,6.14,0.53,-0.79,6.84,5.98,0.87,-1.32,9.28,6.98,2.3,-2.98,10.21,7.59,2.61,-3.11,11.64,7.15,4.49,-5.66,7.58,7.44,0.14,-0.18,7.86,7.86,0.0,-0.02,5.21,5.07,0.14,-0.25,5.19,5.15,0.05,-0.09,3.23,29.02,3.79,7.02,-10.23,34.18,63.21,34.0,34.0,3.27,29.4,0.83,4.1,-2.39,7.5,36.9,34.0,34.0,5.02,45.15,1.24,6.26,-2.91,11.18,56.33,34.0,34.0,6.28,56.44,0.48,6.75,-0.99,4.34,60.78,34.0,34.0,7.0,62.93,0.36,7.36,-0.64,3.29,66.22,34.0,34.0
10,Standing fan (DeLonghi),Mid,180.0,150.0,25,TskControl34,2025-02-07 17:53:54,2025-02-07_ID0_NoPCS_Ta25_TskControl34.csv,2025-02-07_ID10_Standing fan (DeLonghi)_Mid_Angle180_Distance150_Ta25_TskControl34.csv,11.34,9.62,30.44,0.4,28.6,19.34,34.38,37.78,-1.34,-7.18,1.28,-2.82,25.2,25.0,68.54,0.09,25.1,26.22,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,61.86,39.68,76.38,55.58,82.32,82.12,102.64,102.1,65.54,63.46,46.9,43.44,24.9,25.1,71.54,0.08,25.01,26.32,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,50.52,30.06,45.94,55.18,53.72,62.78,68.26,64.32,66.88,70.64,45.62,46.26,6.95,5.62,1.33,-2.02,4.46,3.34,1.11,-2.88,8.58,5.11,3.47,-5.96,6.24,6.14,0.11,-0.07,9.25,5.98,3.27,-4.79,9.23,6.98,2.24,-2.77,11.53,7.59,3.94,-4.53,11.47,7.15,4.32,-5.28,7.36,7.44,-0.08,0.18,7.13,7.86,-0.73,0.91,5.27,5.07,0.2,-0.25,4.88,5.15,-0.26,0.55,3.23,29.02,2.35,5.58,-4.84,20.6,49.62,34.0,34.0,3.27,29.4,1.23,4.5,-3.4,10.68,40.08,34.0,34.0,5.02,45.15,1.3,6.32,-2.67,11.08,56.23,34.0,34.0,6.28,56.44,1.73,8.01,-3.13,14.84,71.28,34.0,34.0,7.0,62.93,0.59,7.59,-0.96,4.6,67.53,34.0,34.0
10,Standing fan (DeLonghi),High,180.0,150.0,25,TskControl34,2025-02-07 18:06:24,2025-02-07_ID0_NoPCS_Ta25_TskControl34.csv,2025-02-07_ID10_Standing fan (DeLonghi)_High_Angle180_Distance150_Ta25_TskControl34.csv,15.1,11.89,34.68,0.7,60.93,39.29,73.82,52.88,-1.95,-8.59,0.7,-2.68,25.3,25.1,68.14,0.19,25.22,26.22,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,65.62,41.95,80.62,55.88,114.65,102.07,142.08,117.2,64.93,62.05,46.32,43.58,24.9,25.1,71.54,0.08,25.01,26.32,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,50.52,30.06,45.94,55.18,53.72,62.78,68.26,64.32,66.88,70.64,45.62,46.26,7.47,5.62,1.85,-2.69,4.78,3.34,1.43,-3.56,9.18,5.11,4.07,-6.79,6.36,6.14,0.23,-0.11,13.06,5.98,7.08,-10.2,11.62,6.98,4.64,-5.63,16.18,7.59,8.59,-9.72,13.35,7.15,6.19,-7.39,7.4,7.44,-0.04,0.26,7.07,7.86,-0.79,1.09,5.28,5.07,0.2,-0.14,4.96,5.15,-0.18,0.52,3.23,29.02,2.44,5.67,-4.96,20.75,49.77,34.0,34.0,3.27,29.4,1.36,4.63,-3.57,11.22,40.62,34.0,34.0,5.02,45.15,1.44,6.47,-2.79,11.62,56.77,34.0,34.0,6.28,56.44,2.15,8.43,-3.64,17.6,74.04,34.0,34.0,7.0,62.93,0.83,7.83,-1.18,5.79,68.72,34.0,34.0
10,Standing fan (DeLonghi),Low,180.0,150.0,22,TskControl34,2025-02-22 19:38:09,2025-02-22_ID0_NoPCS_Ta22_TskControl34.csv,2025-02-22_ID10_Standing fan (DeLonghi)_Low_Angle180_Distance150_Ta22_TskControl34.csv,10.86,5.5,30.78,-0.04,41.38,35.0,46.08,41.16,-1.84,-7.36,-0.88,-3.7,22.4,22.4,56.38,0.04,22.4,22.65,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,88.06,63.32,97.98,76.82,125.86,135.32,176.28,154.54,89.64,88.96,65.44,62.58,22.1,21.9,67.05,0.12,22.0,22.6,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,77.2,57.82,67.2,76.86,84.48,100.32,130.2,113.38,91.48,96.32,66.32,66.28,7.59,6.43,1.16,-1.69,5.46,4.82,0.64,-1.14,8.45,5.6,2.85,-5.5,6.62,6.4,0.22,0.01,10.85,7.04,3.81,-5.88,11.67,8.36,3.31,-4.19,15.2,10.85,4.35,-4.25,13.32,9.45,3.87,-4.36,7.73,7.62,0.1,0.24,7.67,8.03,-0.36,0.92,5.64,5.53,0.11,0.16,5.39,5.52,-0.13,0.67,3.45,41.44,1.85,5.3,-4.46,20.05,61.49,34.0,34.0,3.68,44.1,1.34,5.02,-3.86,14.08,58.18,34.0,34.0,5.61,67.3,0.96,6.56,-1.91,8.84,76.14,34.0,34.0,7.87,94.46,1.12,8.99,-1.53,9.85,104.31,34.0,34.0,8.12,97.43,0.1,8.22,0.06,-2.03,95.4,34.0,34.0
10,Standing fan (DeLonghi),Mid,225.0,150.0,22,TskControl34,2025-02-22 18:17:34,2025-02-22_ID0_NoPCS_Ta22_TskControl34.csv,2025-02-22_ID10_Standing fan (DeLonghi)_Mid_Angle225_Distance150_Ta22_TskControl34.csv,14.88,1.82,36.94,0.48,62.52,40.54,73.04,66.12,-0.7,-7.18,-3.86,-6.22,22.3,22.3,57.47,0.16,22.3,22.57,34.0,34.0,34.0,34.0,34.0,34.0,33.2,34.0,34.0,34.0,34.0,34.0,92.08,59.64,104.14,77.34,147.0,140.86,203.24,179.5,90.78,89.14,62.46,60.06,22.1,21.9,67.05,0.12,22.0,22.6,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,77.2,57.82,67.2,76.86,84.48,100.32,130.2,113.38,91.48,96.32,66.32,66.28,7.87,6.43,1.44,-2.31,5.1,4.82,0.28,-0.38,8.9,5.6,3.3,-6.6,6.61,6.4,0.21,-0.07,12.56,7.04,5.52,-8.88,12.04,8.36,3.68,-4.85,18.65,10.85,7.8,-6.73,15.34,9.45,5.89,-7.0,7.76,7.62,0.14,0.09,7.62,8.03,-0.41,0.89,5.34,5.53,-0.19,0.7,5.13,5.52,-0.39,1.13,3.45,41.44,1.47,4.93,-3.83,16.19,57.63,34.0,34.0,3.68,44.1,0.68,4.36,-1.94,6.89,50.99,34.0,34.0,5.61,67.3,1.54,7.15,-3.27,16.34,83.64,34.0,34.0,7.87,94.46,1.66,9.53,-2.49,17.03,111.49,34.0,34.0,8.12,97.43,0.6,8.72,-0.75,4.54,101.97,34.0,34.0
10,Standing fan (DeLonghi),Mid,180.0,150.0,22,TskControl34,2025-02-22 19:48:44,2025-02-22_ID0_NoPCS_Ta22_TskControl34.csv,2025-02-22_ID10_Standing fan (DeLonghi)_Mid_Angle180_Distance150_Ta22_TskControl34.csv,18.2,8.44,37.96,5.42,64.4,55.28,70.9,64.16,-0.26,-6.12,-0.88,-5.06,22.3,22.4,68.39,0.06,22.36,22.96,34.0,34.0,34.0,34.0,34.0,34.0,33.94,34.0,34.0,34.0,34.0,34.0,95.4,66.26,105.16,82.28,148.88,155.6,201.1,177.54,91.22,90.2,65.44,61.22,22.1,21.9,67.05,0.12,22.0,22.6,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,77.2,57.82,67.2,76.86,84.48,100.32,130.2,113.38,91.48,96.32,66.32,66.28,8.2,6.43,1.76,-2.83,5.69,4.82,0.87,-1.75,9.03,5.6,3.43,-6.78,7.07,6.4,0.66,-0.85,12.79,7.04,5.75,-9.15,13.37,8.36,5.01,-6.61,17.37,10.85,6.52,-6.53,15.25,9.45,5.8,-6.79,7.84,7.62,0.21,0.03,7.75,8.03,-0.28,0.76,5.62,5.53,0.1,0.16,5.26,5.52,-0.26,0.92,3.45,41.44,2.27,5.73,-5.87,25.22,66.67,34.0,34.0,3.68,44.1,1.79,5.47,-5.34,19.54,63.64,34.0,34.0,5.61,67.3,1.36,6.97,-2.83,13.78,81.08,34.0,34.0,7.87,94.46,2.04,9.91,-2.98,20.89,115.35,34.0,34.0,8.12,97.43,0.75,8.87,-0.98,5.8,103.23,34.0,34.0
10,Standing fan (DeLonghi),High,225.0,150.0,22,TskControl34,2025-02-22 18:27:09,2025-02-22_ID0_NoPCS_Ta22_TskControl34.csv,2025-02-22_ID10_Standing fan (DeLonghi)_High_Angle225_Distance150_Ta22_TskControl34.csv,18.68,3.84,40.76,3.36,66.34,48.76,73.8,78.86,0.24,-7.02,-3.4,-6.58,22.4,22.3,65.42,0.06,22.34,22.89,34.0,34.0,34.0,34.0,34.0,34.0,32.44,34.0,34.0,34.0,34.0,34.0,95.88,61.66,107.96,80.22,150.82,149.08,204.0,192.24,91.72,89.3,62.92,59.7,22.1,21.9,67.05,0.12,22.0,22.6,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,77.2,57.82,67.2,76.86,84.48,100.32,130.2,113.38,91.48,96.32,66.32,66.28,8.22,6.43,1.79,-2.9,5.29,4.82,0.47,-0.8,9.26,5.6,3.66,-7.28,6.88,6.4,0.47,-0.52,12.93,7.04,5.89,-9.42,12.79,8.36,4.43,-5.83,20.2,10.85,9.35,-6.8,16.49,9.45,7.04,-8.35,7.87,7.62,0.24,-0.03,7.66,8.03,-0.37,0.87,5.4,5.53,-0.13,0.62,5.12,5.52,-0.4,1.19,3.45,41.44,1.92,5.37,-5.27,21.17,62.61,34.0,34.0,3.68,44.1,0.87,4.55,-2.5,8.95,53.05,34.0,34.0,5.61,67.3,1.89,7.49,-3.96,20.09,87.39,34.0,34.0,7.87,94.46,2.56,10.43,-3.87,27.14,121.6,34.0,34.0,8.12,97.43,0.8,8.91,-1.0,6.51,103.94,34.0,34.0
10,Standing fan (DeLonghi),High,180.0,150.0,22,TskControl34,2025-02-22 19:58:14,2025-02-22_ID0_NoPCS_Ta22_TskControl34.csv,2025-02-22_ID10_Standing fan (DeLonghi)_High_Angle180_Distance150_Ta22_TskControl34.csv,20.6,10.9,42.44,6.52,67.82,57.56,72.28,59.1,-2.26,-5.64,-0.98,-4.9,22.3,22.4,65.4,0.06,22.36,22.87,34.0,34.0,34.0,34.0,34.0,34.0,33.88,34.0,34.0,34.0,34.0,34.0,97.8,68.72,109.64,83.38,152.3,157.88,202.48,172.48,89.22,90.68,65.34,61.38,22.1,21.9,67.05,0.12,22.0,22.6,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,77.2,57.82,67.2,76.86,84.48,100.32,130.2,113.38,91.48,96.32,66.32,66.28,8.4,6.43,1.97,-3.2,5.9,4.82,1.09,-2.26,9.42,5.6,3.82,-7.58,7.16,6.4,0.76,-1.02,13.08,7.04,6.04,-9.63,13.56,8.36,5.2,-6.89,17.58,10.85,6.73,-6.66,14.82,9.45,5.37,-6.26,7.66,7.62,0.04,0.3,7.79,8.03,-0.24,0.7,5.61,5.53,0.09,0.18,5.27,5.52,-0.25,0.89,3.45,41.44,2.83,6.29,-7.59,31.74,73.19,34.0,34.0,3.68,44.1,1.9,5.57,-5.68,20.76,64.86,34.0,34.0,5.61,67.3,1.73,7.34,-3.66,18.13,85.43,34.0,34.0,7.87,94.46,2.43,10.3,-3.56,25.4,119.86,34.0,34.0,8.12,97.43,0.87,8.99,-1.15,7.26,104.69,34.0,34.0
10,Standing fan (DeLonghi),Low,225.0,150.0,22,TskControl34,2025-02-22 18:07:54,2025-02-22_ID0_NoPCS_Ta22_TskControl34.csv,2025-02-22_ID10_Standing fan (DeLonghi)_Low_Angle225_Distance150_Ta22_TskControl34.csv,11.44,0.08,30.06,0.98,47.68,31.68,72.36,50.44,-2.28,-4.8,-3.72,-5.82,22.3,22.3,60.53,0.0,22.3,22.64,34.0,34.0,34.0,34.0,34.0,34.0,34.02,34.0,34.0,34.0,34.0,34.0,88.64,57.9,97.26,77.84,132.16,132.0,202.56,163.82,89.2,91.52,62.6,60.46,22.1,21.9,67.05,0.12,22.0,22.6,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,77.2,57.82,67.2,76.86,84.48,100.32,130.2,113.38,91.48,96.32,66.32,66.28,7.58,6.43,1.14,-1.78,4.95,4.82,0.13,-0.02,8.31,5.6,2.71,-5.37,6.65,6.4,0.25,-0.15,11.3,7.04,4.26,-6.77,11.28,8.36,2.92,-3.79,17.28,10.85,6.43,-6.67,14.0,9.45,4.55,-5.34,7.62,7.62,0.0,0.3,7.82,8.03,-0.2,0.6,5.35,5.53,-0.18,0.67,5.17,5.52,-0.36,1.05,3.45,41.44,1.28,4.74,-2.99,13.96,55.4,34.0,34.0,3.68,44.1,0.52,4.2,-1.42,5.01,49.11,34.0,34.0,5.61,67.3,1.2,6.81,-2.54,12.35,79.65,34.0,34.0,7.87,94.46,1.15,9.03,-1.65,11.14,105.6,34.0,34.0,8.12,97.43,0.37,8.49,-0.38,1.91,99.34,34.0,34.0
10,Standing fan (DeLonghi),Mid,270.0,150.0,22,TskControl34,2025-02-22 17:38:00,2025-02-22_ID0_NoPCS_Ta22_TskControl34.csv,2025-02-22_ID10_Standing fan (DeLonghi)_Mid_Angle270_Distance150_Ta22_TskControl34.csv,10.82,-2.14,17.06,16.04,16.74,25.28,23.34,25.62,-0.74,-1.66,-6.34,-1.7,22.3,22.2,62.92,0.07,22.25,22.71,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,88.02,55.68,84.26,92.9,101.22,125.6,153.54,139.0,90.74,94.66,59.98,64.58,22.1,21.9,67.05,0.12,22.0,22.6,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,77.2,57.82,67.2,76.86,84.48,100.32,130.2,113.38,91.48,96.32,66.32,66.28,7.49,6.43,1.06,-1.68,4.74,4.82,-0.08,0.44,7.17,5.6,1.57,-3.05,7.91,6.4,1.5,-2.5,8.61,7.04,1.57,-2.38,10.69,8.36,2.33,-3.02,13.07,10.85,2.22,-2.15,11.83,9.45,2.38,-2.71,7.72,7.62,0.1,0.1,8.06,8.03,0.03,0.21,5.1,5.53,-0.42,1.15,5.5,5.52,-0.03,0.31,3.45,41.44,2.77,6.23,-9.62,31.71,73.16,34.0,34.0,3.68,44.1,0.21,3.88,-0.41,1.49,45.59,34.0,34.0,5.61,67.3,2.3,7.91,-5.02,25.67,92.97,34.0,34.0,7.87,94.46,0.28,8.15,-0.28,1.32,95.78,34.0,34.0,8.12,97.43,0.14,8.26,-0.08,-0.34,97.09,34.0,34.0
