Datetime,Ta,Tg,Twb,MRT,RH,V,WBGT,ET
2025-02-11 11:26:27,24.6,24.8,24.8,25.0,69.72,0.21,24.8,25.86
2025-02-11 11:27:27,24.6,24.8,24.9,24.9,69.72,0.01,24.87,25.86
2025-02-11 11:28:27,24.6,24.8,24.8,25.0,69.72,0.19,24.8,25.86
2025-02-11 11:29:27,24.8,24.8,24.8,24.8,68.89,0.05,24.8,25.96
2025-02-11 11:30:27,25.0,24.9,24.9,24.9,68.07,0.01,24.9,25.96
2025-02-11 11:31:27,25.1,24.9,24.9,24.8,65.58,0.01,24.9,25.94
2025-02-11 11:32:27,25.1,25.0,25.0,24.9,65.58,0.09,25.0,25.94
2025-02-11 11:33:27,25.1,25.0,25.0,25.0,65.58,0.0,25.0,25.94
2025-02-11 11:34:27,25.1,25.1,25.0,25.1,64.76,0.0,25.03,25.89
2025-02-11 11:35:27,25.2,25.1,25.1,25.1,64.38,0.07,25.1,25.99
2025-02-11 11:36:27,25.3,25.2,25.1,25.2,64.0,0.03,25.13,25.99
2025-02-11 11:37:27,25.2,25.1,25.0,25.0,64.38,0.1,25.03,25.99
2025-02-11 11:38:27,25.2,25.2,25.1,25.2,64.38,0.05,25.13,25.99
2025-02-11 11:39:27,25.2,25.2,25.1,25.2,64.38,0.0,25.13,25.99
2025-02-11 11:40:27,25.1,25.2,25.1,25.3,64.76,0.08,25.13,25.99
2025-02-11 11:41:27,25.2,25.2,25.2,25.2,64.38,0.07,25.2,25.99
2025-02-11 11:42:27,25.2,25.2,25.2,25.2,64.38,0.05,25.2,25.99
2025-02-11 11:43:27,25.2,25.2,25.1,25.2,63.57,0.08,25.13,25.94
2025-02-11 11:44:27,25.2,25.2,25.2,25.2,63.57,0.11,25.2,25.94
2025-02-11 11:45:27,25.1,25.2,25.2,25.2,63.95,0.04,25.2,25.94
2025-02-11 11:46:27,25.0,25.1,25.1,25.1,63.93,0.04,25.1,25.92
2025-02-11 11:47:27,25.1,25.2,25.2,25.2,63.55,0.0,25.2,25.92
2025-02-11 11:48:27,25.1,25.2,25.2,25.2,63.55,0.0,25.2,25.92
2025-02-11 11:49:27,25.1,25.2,25.2,25.2,63.15,0.02,25.2,25.9
2025-02-11 11:50:27,25.1,25.2,25.2,25.2,63.15,0.01,25.2,25.9
2025-02-11 11:51:27,25.1,25.2,25.2,25.2,63.15,0.0,25.2,25.9
2025-02-11 11:52:27,25.1,25.2,25.2,25.2,62.76,0.0,25.2,25.88
2025-02-11 11:53:27,25.1,25.2,25.2,25.2,62.76,0.04,25.2,25.88
2025-02-11 11:54:27,25.2,25.2,25.2,25.2,62.38,0.0,25.2,25.88
2025-02-11 11:55:27,25.2,25.1,25.1,25.1,61.99,0.0,25.1,25.86
2025-02-11 11:56:27,25.2,25.2,25.2,25.2,61.99,0.0,25.2,25.86
2025-02-11 11:57:27,25.1,25.2,25.2,25.2,62.36,0.0,25.2,25.86
2025-02-11 11:58:27,25.1,25.2,25.2,25.2,62.76,0.0,25.2,25.88
2025-02-11 11:59:27,25.1,25.2,25.2,25.2,62.76,0.03,25.2,25.88
2025-02-11 12:00:27,25.1,25.2,25.2,25.2,62.76,0.06,25.2,25.88
2025-02-11 12:01:27,25.1,25.2,25.2,25.2,62.36,0.0,25.2,25.86
2025-02-11 12:02:27,25.1,25.1,25.2,25.1,62.36,0.11,25.17,25.86
2025-02-11 12:03:27,25.2,25.2,25.2,25.2,61.99,0.0,25.2,25.95
2025-02-11 12:04:27,25.1,25.1,25.2,25.1,62.36,0.09,25.17,25.86
2025-02-11 12:05:27,25.2,25.1,25.2,25.1,61.99,0.05,25.17,25.95
2025-02-11 12:06:27,25.2,25.2,25.2,25.2,61.99,0.0,25.2,25.95
2025-02-11 12:07:27,25.3,25.2,25.2,25.2,61.62,0.0,25.2,25.95
2025-02-11 12:08:27,25.3,25.2,25.2,25.2,61.62,0.01,25.2,25.95
2025-02-11 12:09:27,25.2,25.2,25.2,25.2,61.99,0.05,25.2,25.95
2025-02-11 12:10:27,25.2,25.2,25.2,25.2,61.6,0.11,25.2,25.93
2025-02-11 12:11:27,25.2,25.2,25.2,25.2,61.6,0.01,25.2,25.84
2025-02-11 12:12:27,25.1,25.2,25.2,25.2,61.97,0.0,25.2,25.93
2025-02-11 12:13:27,25.3,25.2,25.2,25.2,61.24,0.0,25.2,25.84
2025-02-11 12:14:27,25.1,25.2,25.2,25.2,61.97,0.03,25.2,25.84
2025-02-11 12:15:27,25.2,25.1,25.2,25.1,61.6,0.02,25.17,25.93
2025-02-11 12:16:27,25.1,25.2,25.2,25.3,61.97,0.11,25.2,25.84
2025-02-11 12:17:27,25.2,25.2,25.2,25.2,61.6,0.03,25.2,25.93
2025-02-11 12:18:27,25.1,25.2,25.2,25.2,61.97,0.0,25.2,25.93
2025-02-11 12:19:27,25.2,25.2,25.2,25.2,61.6,0.01,25.2,25.84
2025-02-11 12:20:27,25.1,25.2,25.2,25.2,61.97,0.02,25.2,25.84
2025-02-11 12:21:27,25.1,25.2,25.2,25.2,61.97,0.0,25.2,25.84
2025-02-11 12:22:27,25.1,25.1,25.2,25.1,61.58,0.0,25.17,25.82
2025-02-11 12:23:27,25.1,25.1,25.2,25.1,61.58,0.11,25.17,25.82
2025-02-11 12:24:27,25.1,25.1,25.2,25.1,61.58,0.0,25.17,25.82
2025-02-11 12:25:27,25.1,25.2,25.2,25.2,61.97,0.0,25.2,25.84
2025-02-11 12:26:27,25.1,25.2,25.2,25.2,61.97,0.07,25.2,25.84
2025-02-11 12:27:27,25.1,25.2,25.2,25.2,61.97,0.0,25.2,25.93
2025-02-11 12:28:27,25.2,25.2,25.2,25.2,61.6,0.06,25.2,25.93
2025-02-11 12:29:27,25.1,25.2,25.2,25.2,61.97,0.04,25.2,25.93
2025-02-11 12:30:27,25.1,25.1,25.2,25.1,61.97,0.04,25.17,25.84
2025-02-11 12:31:27,25.1,25.1,25.2,25.1,61.97,0.05,25.17,25.84
2025-02-11 12:32:27,25.1,25.2,25.2,25.2,61.97,0.05,25.2,25.93
2025-02-11 12:33:27,25.1,25.2,25.2,25.2,61.97,0.07,25.2,25.84
2025-02-11 12:34:27,25.1,25.2,25.2,25.3,61.58,0.14,25.2,25.82
2025-02-11 12:35:27,25.1,25.1,25.2,25.1,61.58,0.06,25.17,25.82
2025-02-11 12:36:27,25.1,25.1,25.2,25.1,61.58,0.0,25.17,25.82
2025-02-11 12:37:27,25.1,25.2,25.2,25.2,61.97,0.03,25.2,25.84
2025-02-11 12:38:27,25.1,25.2,25.2,25.3,61.97,0.11,25.2,25.84
2025-02-11 12:39:27,25.1,25.2,25.2,25.2,61.97,0.02,25.2,25.84
2025-02-11 12:40:27,25.2,25.2,25.2,25.2,61.6,0.06,25.2,25.93
2025-02-11 12:41:27,25.2,25.1,25.2,25.0,61.6,0.11,25.17,25.84
2025-02-11 12:42:27,25.1,25.2,25.2,25.2,61.97,0.0,25.2,25.84
